,extensions (pitch classes),compatible modes,parent scale types,brightness
33,"[0, 3, 6]__[2, 6, 10]",Aeolian b5; Dorian b5; Dorian #4,melodic_minor; harmonic_major; harmonic_minor,"[-2, -1, 1]"
34,"[0, 3, 6]__[2, 6, 9]",Dorian b5; Dorian #4; Lydian b3,harmonic_major; harmonic_minor; harmonic_major,"[-1, 1, 2]"
35,"[0, 3, 6]__[6, 10, 2]",Aeolian b5; Dorian b5; Dorian #4,melodic_minor; harmonic_major; harmonic_minor,"[-2, -1, 1]"
36,"[0, 3, 7]__[5, 8, 0]",Phrygian; Aeolian; Harmonic Minor,major; major; harmonic_minor,"[-2, -1, 0]"
37,"[0, 3, 7]__[7, 11, 2]",Harmonic Minor; Melodic Minor; Lydian b3,harmonic_minor; melodic_minor; harmonic_major,"[0, 1, 2]"
38,"[0, 4, 7]__[5, 9, 0]",Mixolydian b2; Mixolydian; Ionian,harmonic_major; major; major,"[0, 1, 2]"
39,"[0, 4, 7]__[7, 10, 2]",Mixolydian b6; Mixolydian; Lydian Dominant,melodic_minor; major; melodic_minor,"[0, 1, 2]"
40,"[0, 3, 6]__[0, 4, 8]",Altered b7; Altered; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major,"[-5, -4, 5]"
41,"[0, 3, 6]__[4, 8, 0]",Altered b7; Altered; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major,"[-5, -4, 5]"
42,"[0, 3, 6]__[8, 0, 4]",Altered b7; Altered; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major,"[-5, -4, 5]"
43,"[0, 3, 6]__[9, 0, 4]",Altered b7; Lydian #2; Lydian #5 #2,harmonic_minor; harmonic_minor; harmonic_major,"[-5, 4, 5]"
44,"[0, 4, 7]__[1, 4, 7]",Phrygian b4; Phrygian #3; Mixolydian b2,harmonic_major; harmonic_minor; harmonic_major,"[-3, -1, 0]"
45,"[0, 4, 7]__[10, 1, 4]",Phrygian b4; Phrygian #3; Mixolydian b2,harmonic_major; harmonic_minor; harmonic_major,"[-3, -1, 0]"
46,"[0, 4, 7]__[7, 10, 1]",Phrygian b4; Phrygian #3; Mixolydian b2,harmonic_major; harmonic_minor; harmonic_major,"[-3, -1, 0]"
47,"[0, 4, 8]__[0, 3, 6]",Altered b7; Altered; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major,"[-5, -4, 5]"
48,"[0, 4, 8]__[2, 5, 8]",Mixolydian b6; Harmonic major; Ionian #5,melodic_minor; harmonic_major; harmonic_minor,"[0, 1, 3]"
49,"[0, 4, 8]__[4, 7, 10]",Phrygian b4; Phrygian #3; Mixolydian b6,harmonic_major; harmonic_minor; melodic_minor,"[-3, -1, 0]"
50,"[0, 4, 8]__[6, 9, 0]",Altered b7; Lydian #5; Lydian #5 #2,harmonic_minor; melodic_minor; harmonic_major,"[-5, 4, 5]"
51,"[0, 3, 7]__[7, 10, 1]",Phrygian b4; Phrygian; Dorian b2,harmonic_major; major; melodic_minor,"[-3, -2, -1]"
52,"[0, 4, 7]__[7, 11, 2]",Harmonic major; Ionian; Lydian,harmonic_major; major; major,"[1, 2, 3]"
53,"[0, 3, 6]__[0, 3, 7]",Dorian #4; Lydian b3; Lydian #2,harmonic_minor; harmonic_major; harmonic_minor,"[1, 2, 4]"
54,"[0, 3, 6]__[5, 9, 0]",Locrian b7; Locrian #6; Dorian b5,harmonic_major; harmonic_minor; harmonic_major,"[-4, -2, -1]"
55,"[0, 3, 7]__[0, 3, 6]",Dorian #4; Lydian b3; Lydian #2,harmonic_minor; harmonic_major; harmonic_minor,"[1, 2, 4]"
56,"[0, 3, 7]__[3, 6, 9]",Dorian #4; Lydian b3; Lydian #2,harmonic_minor; harmonic_major; harmonic_minor,"[1, 2, 4]"
57,"[0, 3, 7]__[6, 9, 0]",Dorian #4; Lydian b3; Lydian #2,harmonic_minor; harmonic_major; harmonic_minor,"[1, 2, 4]"
58,"[0, 4, 8]__[10, 1, 4]",Altered; Phrygian b4; Phrygian #3,melodic_minor; harmonic_major; harmonic_minor,"[-4, -3, -1]"
